,X20170615_lu.test2_01_01.RCCprocessed.csv,X20170615_lu.test2_01_02.RCCprocessed.csv,X20170615_lu.test2_01_03.RCCprocessed.csv,X20170615_lu.test2_01_04.RCCprocessed.csv,X20170615_lu.test2_01_05.RCCprocessed.csv,X20170615_lu.test2_01_06.RCCprocessed.csv,X20170615_lu.test2_01_07.RCCprocessed.csv,X20170615_lu.test2_01_08.RCCprocessed.csv,X20170615_lu.test2_01_09.RCCprocessed.csv,X20170615_lu.test2_01_10.RCCprocessed.csv,X20170615_lu.test2_01_11.RCCprocessed.csv,X20170615_lu.test2_01_12.RCCprocessed.csv,X20170615_lu.test3_01_01.RCCprocessed.csv,X20170615_lu.test3_01_02.RCCprocessed.csv,X20170615_lu.test3_01_03.RCCprocessed.csv,X20170615_lu.test3_01_04.RCCprocessed.csv,X20170615_lu.test3_01_05.RCCprocessed.csv,X20170615_lu.test3_01_06.RCCprocessed.csv,X20170615_lu.test3_01_07.RCCprocessed.csv,X20170615_lu.test3_01_08.RCCprocessed.csv,X20170615_lu.test3_01_09.RCCprocessed.csv,X20170615_lu.test3_01_10.RCCprocessed.csv,X20170615_lu.test3_01_11.RCCprocessed.csv,X20170615_lu.test3_01_12.RCCprocessed.csv,X20170616_lu.test4_01_01.RCCprocessed.csv,X20170616_lu.test4_01_02.RCCprocessed.csv,X20170616_lu.test4_01_03.RCCprocessed.csv,X20170616_lu.test4_01_04.RCCprocessed.csv,X20170616_lu.test4_01_05.RCCprocessed.csv,X20170616_lu.test4_01_06.RCCprocessed.csv,X20170616_lu.test4_01_07.RCCprocessed.csv,X20170616_lu.test4_01_08.RCCprocessed.csv,X20170616_lu.test4_01_09.RCCprocessed.csv,X20170616_lu.test4_01_10.RCCprocessed.csv,X20170616_lu.test4_01_11.RCCprocessed.csv,X20170616_lu.test4_01_12.RCCprocessed.csv,X20170616_lu.test5_01_01.RCCprocessed.csv,X20170616_lu.test5_01_02.RCCprocessed.csv,X20170616_lu.test5_01_03.RCCprocessed.csv,X20170616_lu.test5_01_04.RCCprocessed.csv,X20170616_lu.test5_01_05.RCCprocessed.csv,X20170616_lu.test5_01_06.RCCprocessed.csv,X20170616_lu.test5_01_07.RCCprocessed.csv,X20170616_lu.test5_01_08.RCCprocessed.csv,X20170616_lu.test5_01_09.RCCprocessed.csv,X20170616_lu.test5_01_10.RCCprocessed.csv,X20170616_lu.test5_01_11.RCCprocessed.csv,X20170616_lu.test5_01_12.RCCprocessed.csv
ENSORLG00000006451,168.9827597,185.2099043,210.1417912,129.0160057,223.5532603,102.7013046,119.6209432,154.0584441,151.0654877,104.3315248,148.8796677,76.29753983,168.0900688,122.5172172,151.6470285,113.3304874,143.2118384,117.5913831,152.1375297,108.5106137,181.8260996,172.3761697,136.5095807,175.5206237,85.53591538,178.8051406,83.39375649,78.66011596,92.92176818,91.42246235,137.0813076,98.67651483,131.3083333,118.06386,81.51175259,102.0186362,157.2120927,141.9416776,119.2984176,108.7566889,103.6790871,128.5044254,154.4486896,132.403946,158.4239347,148.1637734,140.7181354,166.0562934
ENSORLG00000013461,268.1439625,191.5895153,331.0881673,240.271104,231.9800302,211.5273285,243.9720858,204.7242322,202.899278,104.3315248,193.8010333,203.312046,227.4884525,198.7849693,181.3034764,307.8865827,238.2697333,225.6459624,262.2999635,188.1332671,249.9571916,223.6125724,185.1339736,234.7661962,203.0886462,255.8647124,245.2787049,238.9900479,172.6911477,220.6780045,225.9603429,247.9286001,247.7666286,344.0771372,275.0164472,245.8862157,227.2302759,240.76938,309.9630753,314.0139274,305.8791057,261.5788917,187.9785153,272.9616771,230.6699573,208.4337643,221.5744714,221.4462576
ENSORLG00000010656,71.56122713,76.75651705,113.3846903,76.73951373,97.15171142,124.4665094,102.5345267,46.39364456,130.9079025,34.40805124,132.0341555,91.66219783,63.00062089,104.3582286,113.0936462,99.80921436,86.88123397,41.95317763,72.57577195,87.86770363,83.59057161,56.42010059,76.44415418,60.32089936,180.4030315,178.8051406,166.9472782,116.6329946,107.2393491,103.6163814,97.0857418,113.6017234,61.43335613,128.3371908,125.4027181,80.15076413,97.19650712,65.6536266,65.29513303,170.1420312,74.30789593,84.03223873,93.13700835,86.78433155,85.67620359,101.9567803,104.129514,119.6001944
ENSORLG00000006269,536.0531771,453.1535668,2508.122938,303.2709789,535.3437476,385.6489667,342.6936036,351.9716786,407.3547843,904.5668337,328.5651303,1814.552515,391.976284,1310.115071,1190.611253,355.2110383,259.3937099,301.2841679,615.7377719,1441.45281,332.3482796,353.0519053,351.028961,1110.284101,345.3893204,409.9838561,2402.003985,305.4425855,450.8612917,1647.366536,354.8349439,322.5546427,377.5344433,528.9970912,4289.277745,312.6407725,310.5852559,334.3956244,275.797732,193.1615346,303.6944716,315.6297032,298.1479426,285.7022902,311.9467328,332.4894958,334.9540265,389.8496165
ENSORLG00000007554,668.2681142,472.2923998,524.6023691,531.1428669,535.3437476,472.7097858,444.2628575,483.3860664,502.3834,586.0265651,671.0905436,434.8062265,410.2527098,460.274405,424.4863492,495.6820415,516.4020925,468.7687657,478.0347296,356.2255352,501.8837876,485.1878911,382.4918035,442.1256999,473.2536943,660.4274645,516.8276505,480.0123469,512.2223529,666.9754425,519.2611591,382.2554768,527.2665373,590.6370759,497.9953669,580.8099407,437.2848254,459.2306169,507.2403801,498.1699544,382.8267718,409.7054827,410.2333599,381.4623818,418.3089328,438.9664798,418.9723421,422.4582244
ENSORLG00000004452,73.30089736,153.3118492,210.1417912,80.76078234,88.7249415,222.4099309,182.2711372,92.30951497,87.71307723,65.48515062,92.72796056,47.61684489,113.2607917,235.1029465,38.95252649,63.75248627,76.31924565,28.44635523,86.34607618,114.4085881,208.7616476,204.736003,196.5750072,215.017672,168.0290598,198.0700336,78.17166138,150.9140655,133.8291423,149.9532739,97.0857418,247.9286001,91.37977491,261.8904909,56.84310775,78.99982349,180.5514871,155.8122323,132.5237118,183.5700749,149.070928,157.9244873,131.4568091,121.307283,155.9153923,156.1997722,166.0139723,181.6905575
ENSORLG00000019328,128.9703445,1,210.1417912,75.39909086,114.0052513,4.757883146,50.32603167,21.06075055,274.8906535,158.7164487,143.2644969,176.6799721,108.6916852,1,78.49445703,280.8440366,340.3689538,60.862729,1,102.6126394,1,1,1,1,1,1,1,1,1,1,3.762754827,1.662659406,1,5.057221468,1,1,0.504730339,1,1,1,1,1,1,1,1,1,1,1
ENSORLG00000001780,228.1315474,204.3487373,258.5203417,218.824338,223.5532603,211.5273285,219.2917064,261.7232437,254.7330683,189.7935481,205.0313747,221.7496356,305.1632618,111.621824,209.9713761,237.2754902,185.4597917,195.9309531,276.0702677,155.6944083,229.3594196,282.9389333,219.4570744,254.5147203,244.3352185,169.1726941,208.7240391,231.6064326,221.7799966,252.3821941,301.5075228,188.227766,251.0940084,189.9771755,172.4974037,191.7920058,203.8908815,232.1002833,181.0164571,210.4261621,233.5434448,227.711611,202.3484406,246.2474885,226.6562894,217.9765129,221.1227601,242.4408408
ENSORLG00000014854,5.453758594,51.238073,16.62758942,9.718370197,21.31078209,26.52308792,18.05168931,38.47711518,21.4810118,34.40805124,42.19142419,17.91183942,12.74045013,38.98586966,26.10139906,17.93039432,27.0299668,14.93953282,31.26485929,28.88796043,24.9661436,42.93683674,19.23898608,24.11527172,16.10418547,24.68599695,57.28328095,15.37198493,17.24312606,18.25894792,3.762754827,9.12526367,24.83217761,46.15054458,8.146562082,26.05655425,23.84412473,27.50960111,19.00660341,24.35184314,8.040662947,12.19255256,16.49740678,17.32744103,25.47118473,24.10804193,17.85264148,17.75413115
ENSORLG00000011996,14.15210972,57.61768402,137.5739655,9.718370197,55.01786179,26.52308792,15.20395322,38.47711518,38.75894191,73.25442546,19.73074135,16.88752888,58.43151446,68.0402514,34.00978517,14.92566698,16.46797847,31.14771971,35.85496069,17.09201179,47.14835961,59.11675336,73.58389578,47.15521658,28.47815714,53.58333638,20.72861519,22.22819913,45.87828794,35.33043462,39.31436891,61.36349351,34.8143172,76.97053692,9.748422137,28.35843552,53.85191753,84.72563935,37.74243683,30.10671898,14.83730223,35.11283339,57.69119262,31.30101664,46.54294133,55.24753727,55.79639695,61.5300706
ENSORLG00000011849,73.30089736,51.238073,161.7632408,88.80331957,105.5784814,70.05349747,90.19433693,74.89315033,76.19445716,104.3315248,103.958302,85.51633463,67.56972732,68.0402514,59.71204002,98.30685069,79.83990842,79.77228038,78.69590716,52.47985771,72.49946361,102.2631977,102.1864798,96.526527,92.41034409,72.84822934,46.83909073,82.87932469,74.51344982,57.27948895,79.30993476,91.21391057,81.39763532,56.42387536,57.80422378,60.58477332,97.19650712,91.66091671,67.49934872,53.12622237,90.08580854,87.79526991,92.17901333,78.15359367,74.63861679,75.33753426,70.70287231,86.54489314
